Name,Coefficient,Coefficient_std_error,Coefficient_P_value,Phenotype
Neur_Tel_Glut_SATB2_2,-9.367629809870041e-09,6.70772190325204e-08,0.5555334777035378,20001_1061
Neur_MB_Glut,-1.3120335380803878e-08,8.418669196892353e-08,0.5619236194068775,20001_1061
Neur_CB_GNP_IPC_3,-7.701259616732162e-09,4.89244418634768e-08,0.5625396427667188,20001_1061
Neur_CB_GNP_IPC_1,-9.382110856342886e-09,4.575521198675072e-08,0.5812335093371614,20001_1061
Gbl_General_1,-1.7235195686612617e-08,7.972101071028003e-08,0.58558169329799,20001_1061
End_7,-1.7214705253096248e-08,6.329534777864626e-08,0.6071790937093944,20001_1061
Neur_Purk_1,-2.0593915533107997e-08,6.87465656295989e-08,0.6177446787301513,20001_1061
Neur_HB_NBL,-6.000895682189684e-08,1.6086654542437478e-07,0.6454390456104278,20001_1061
Rgl_CB_3,-5.8826624560600465e-08,1.489104340047883e-07,0.6535959097347674,20001_1061
End_5,-2.3060806185297392e-08,5.56877831434622e-08,0.6606028195717342,20001_1061
Neur_Purk_2,-2.9891957488397824e-08,7.007060339484779e-08,0.6651638094357585,20001_1061
Neur_CB_GNP_IPC_4,-2.4826401792763042e-08,5.4413017056293394e-08,0.6758979503229334,20001_1061
Per_7,-4.3623862543280404e-08,9.506705578631895e-08,0.6768379103312053,20001_1061
Neur_Gly_7,-1.2040950683960236e-07,2.5547807128964773e-07,0.6812905037539642,20001_1061
End_6,-3.042453435838296e-08,6.273550586641836e-08,0.6861494686392051,20001_1061
Neur_Gly_6,-8.24050890039711e-08,1.6089645437067606e-07,0.6957312673035886,20001_1061
Neur_Gly_5,-9.536372957080355e-08,1.833511269318256e-07,0.6985083984814572,20001_1061
Gbl_Di,-9.627924997204903e-08,1.7926718844801326e-07,0.7043907947049818,20001_1061
End_2,-3.909426697484766e-08,7.200931511243204e-08,0.7064026312736553,20001_1061
Neur_Purk_prog,-3.5712369448110735e-08,6.528915772458812e-08,0.7078064257593776,20001_1061
Neur_MB_GABA_2,-4.694514692690162e-08,8.574770375004437e-08,0.7079754727142009,20001_1061
Neur_MB_GABA_IPC,-1.0078549557501057e-07,1.7857758455619325e-07,0.7137519948088127,20001_1061
Rgl_MB_2,-4.6761675834627585e-08,8.127332028689248e-08,0.7174771490682456,20001_1061
Neur_Gly_4,-8.094427180912452e-08,1.337253375931509e-07,0.7275109664685622,20001_1061
End_8,-3.856771186027805e-08,6.286682556602028e-08,0.7302214011905892,20001_1061
End_10,-4.423470395299705e-08,7.122594410702845e-08,0.7327158582744372,20001_1061
Neur_MB_GABA_TFAP2B,-5.271742084118592e-08,8.35214074895833e-08,0.7360400640645246,20001_1061
PreOPC_1,-1.1473663715713997e-07,1.8024773328294005e-07,0.7377908948551766,20001_1061
Neur_Tel_Glut_SATB2_1,-5.286286752252716e-08,8.119911847216335e-08,0.7424856659154655,20001_1061
Rgl_Tel_1,-1.0194665348853172e-07,1.553380484283493e-07,0.7441809052207877,20001_1061
Neur_Tel_Glut_NBL_1,-5.992141975350563e-08,8.953672465967588e-08,0.7483283120152823,20001_1061
Neur_MB_GABA_TAL2,-5.086988650300174e-08,7.579864713372729e-08,0.7489275297673682,20001_1061
Neur_MB_GABA_1,-5.07279512121871e-08,7.255769421531356e-08,0.7577675773437614,20001_1061
Neur_CB_IPC_1,-9.044510844246937e-08,1.2738209418487446e-07,0.7611572338833024,20001_1061
Neur_HB_Glut_NBL_4,-3.1294995193269935e-08,4.4057363489258845e-08,0.7612483273283059,20001_1061
End_3,-4.210528793842976e-08,5.916679505178517e-08,0.7616552442950164,20001_1061
Neur_HB_Glut_NBL_1,-4.443886548201019e-08,6.119747823719245e-08,0.7661281758979108,20001_1061
Neur_Gly_1,-2.720981984208452e-07,3.636267716543263e-07,0.7728573073890781,20001_1061
Neur_Purk_3,-5.303178502651341e-08,7.008952379757978e-08,0.7753639989565074,20001_1061
End_4,-4.7653039178419456e-08,6.266744703408574e-08,0.7764956351249324,20001_1061
Gbl_HB_1,-5.5885904148115573e-08,6.668748556038942e-08,0.7989921909419124,20001_1061
Neur_Gly_2,-9.73103552541367e-08,1.1518488515754172e-07,0.8008939889294724,20001_1061
Schwl_1,-1.3679524218032506e-07,1.5938594148931785e-07,0.8046266942462228,20001_1061
Floor_plate,-5.946723380209124e-08,6.925444874648077e-08,0.8047407539622491,20001_1061
Neur_DA,-9.599168199136805e-08,1.093958706984985e-07,0.8098845133892633,20001_1061
Neur_DRG_1,-1.175290195882008e-07,1.2353097757538918e-07,0.8293027036677738,20001_1061
Neur_Purk_6,-5.7709587855887495e-08,6.029769847091623e-08,0.8307360029687951,20001_1061
Gbl_General_2,-1.7246021169104645e-07,1.7704244915356675e-07,0.8350009886847656,20001_1061
Neur_MB_Glut_NBL_1,-6.89488877337994e-08,7.000706194568937e-08,0.8376596576194839,20001_1061
End_9,-5.5534093813717566e-08,5.621366847647357e-08,0.8384018479198577,20001_1061
Per_2,-5.0681282515727795e-08,5.1134556068444575e-08,0.8391903313804142,20001_1061
Rgl_Tel_2,-2.331172853409641e-07,2.3093183156016485e-07,0.8436238325389623,20001_1061
Neur_HB_Glut_NBL_2,-6.712616281323164e-08,6.628513715500333e-08,0.8443953936884767,20001_1061
Neur_Purk_4,-6.241765777780937e-08,6.085824118588686e-08,0.8474655168228695,20001_1061
Gbl_CB_1,-1.3470524955020628e-07,1.2068317502482873e-07,0.8678294093143804,20001_1061
VLMC_SLC6A13_1,-3.62270661567152e-07,3.213579015639497e-07,0.8701947328944788,20001_1061
End_early_2,-3.410999653144797e-07,2.928562335932426e-07,0.8779369030717051,20001_1061
Neur_HB_Glut_NBL_3,-6.628213969974752e-08,5.628414531214507e-08,0.8805287839573621,20001_1061
PreOPC_4,-5.417161596963515e-07,4.408198109606688e-07,0.8904422418563314,20001_1061
Per_5,-8.032724245261128e-08,6.49143082074659e-08,0.8920371997896406,20001_1061
Per_3,-7.208944402151707e-08,5.617752059670697e-08,0.9002966281442099,20001_1061
Per_1,-7.185580707535915e-08,5.468718929543448e-08,0.9055671758860916,20001_1061
Per_4,-1.0570663977014109e-07,7.07979809879477e-08,0.9322911191646348,20001_1061
Per_6,-7.90016188281757e-08,5.2514389317004414e-08,0.9337582780122392,20001_1061
Neur_Purk_NBL_2,-1.0895047597942141e-07,6.620840016335483e-08,0.950073713925242,20001_1061
Gbl_HB_2,-1.2704556732346378e-07,7.668076656894117e-08,0.9512211930896856,20001_1061
