Name,Coefficient,Coefficient_std_error,Coefficient_P_value,Phenotype
PVM,-1.2391388275784676e-07,5.1048158532110345e-08,0.9923960893555012,3064
Mic_5,-1.0478919991566081e-07,4.3098510126505274e-08,0.992479450913222,3064
Neur_Purk_NBL_1,-1.1388226330981245e-07,4.594414449383271e-08,0.9934070980286628,3064
Neur_Purk_6,-1.248939311685039e-07,5.0154564958593355e-08,0.9936160924225692,3064
Neur_Purk_2,-1.37853121611473e-07,5.45263360362318e-08,0.9942674407968046,3064
Mic_6,-1.2928423196759265e-07,4.8673147968282986e-08,0.9960483303576348,3064
Neur_DRG_2,-3.025353155308102e-07,1.1245158131593345e-07,0.9964312587318864,3064
Mic_active_1,-1.0858451518468541e-07,3.949738462237477e-08,0.997012562869708,3064
Immune_uncertain,-1.5691456470738644e-07,5.661831673768164e-08,0.997209597126087,3064
Neur_MB_GABA_TFAP2B,-1.714387873659392e-07,6.130073419086367e-08,0.9974185004847206,3064
Neur_Purk_4,-1.345597151883688e-07,4.7152782879872536e-08,0.9978393079681636,3064
Neur_Purk_5,-1.4911532525892604e-07,5.111815424089921e-08,0.9982333277622468,3064
Neur_Purk_1,-1.9190463799513425e-07,5.276826369589037e-08,0.999861946664756,3064
Neur_Tel_Glut_NBL_1,9.477695814490925e-08,4.5181872353601474e-08,0.0179668599405106,699
Gbl_late,5.154594358610588e-07,2.559016500015678e-07,0.0219896908780311,699
Neur_Tel_Glut_PCNA,1.2067894660710534e-07,6.37488501854607e-08,0.0291764594678785,699
Schwl_3,1.268189115798807e-07,7.152853661455524e-08,0.0381157246981237,699
Neur_DA,1.0185913037962487e-07,5.806227024761165e-08,0.0396888357174907,699
Neur_Int_LGE_CGE,8.279548928908474e-08,4.7764440493632383e-08,0.041511168105594,699
Neur_Tel_Glut_SATB2_2,5.096649964961752e-08,3.0619979131140495e-08,0.0480077610849124,699
Neur_SER,1.133398573317517e-07,6.941626116147469e-08,0.051260100949736,699
Neur_Int_MGE,8.514830579199968e-08,5.228590289475157e-08,0.0517080102106788,699
Rgl_CB_1,8.289536383097387e-08,5.2404869066894645e-08,0.0568446937631832,699
Rgl_CB_2,4.728724617330119e-08,3.3516599124348886e-08,0.0791428739287548,699
Neur_Tel_Glut_SATB2_1,4.986773651614014e-08,3.6405158144413226e-08,0.0853748816451801,699
Mic_dividing,3.0889558856883145e-08,2.3327956140656622e-08,0.0927277142507239,699
Neur_Tel_Glut_NBL_2,4.4049118357369855e-08,3.4934289607355125e-08,0.1036700018290629,699
PreOPC,5.5226388481794364e-08,4.488404656690628e-08,0.1092692671580966,699
PVM,3.75435895817431e-08,3.1086852332062616e-08,0.113581351270953,699
Neur_Gly_4,8.900816616698724e-08,7.730322882482322e-08,0.1247805894923019,699
OPC_6,5.0889132382077454e-08,4.7392890766154547e-08,0.1414625675186238,699
Gbl_General_2,9.864993854193483e-08,9.2479992468118e-08,0.1430499256256192,699
Mic_3,2.3962084290390423e-08,2.258794992431305e-08,0.1443824824697887,699
Mic_1,2.4463227394286083e-08,2.3652271011974587e-08,0.1505010954732116,699
Mic_2,2.4514938142308253e-08,2.4108899080216732e-08,0.1546143289915156,699
Mic_5,2.5378636208317468e-08,2.5798270166596376e-08,0.1626231522480934,699
Per_7,3.65617911185524e-08,3.87589463254337e-08,0.17276059107306,699
Mic_4,2.2282508866166072e-08,2.5145177319606612e-08,0.1877671730453567,699
Rgl_MB_1,5.1770667171562894e-08,5.93110553962757e-08,0.1913677683693199,699
Gbl_Di,5.873116110517281e-08,6.729755938033325e-08,0.191410955269771,699
T_Cell_immature,5.250362545798753e-08,6.147063026456505e-08,0.1965177612764327,699
Neur_MB_Glut_NBL_1,2.927292894089898e-08,3.542518006392353e-08,0.2043081406335851,699
Neur_CB_GABA_1,1.5111021343047814e-07,1.857853766694961e-07,0.2080061214239943,699
Rgl_Tel_dorsal,3.0807606319076246e-08,4.190712862306518e-08,0.2311271194163223,699
Mic_6,1.9612030442662773e-08,2.709342131679176e-08,0.2345737315128928,699
Per_4,2.057854277488232e-08,2.849805814961976e-08,0.2351154745798666,699
Gbl_HB_2,2.543466792837293e-08,3.585854376210213e-08,0.2390674094564944,699
End_6,1.9334390941679206e-08,2.757286062597136e-08,0.2415856982720481,699
Neur_DRG_1,4.122702613248301e-08,5.961516549182487e-08,0.2446091505724261,699
Gbl_CB_VZ,2.4412840631696043e-08,3.594306623853024e-08,0.2485028412694273,699
End_9,1.5853744805844434e-08,2.427904789352048e-08,0.2568844253232005,699
Immune_uncertain,1.9695660751769624e-08,3.0673127702258424e-08,0.2603994135793113,699
