,tSNE1,tSNE2
E434_90,-16.784122,5.20951
E435_320,11.341816,-3.6782744
E436_474,11.036833,-10.310305
E437_344,7.6414933,-2.815424
E438_226,-5.605642,-1.2750119
E439_180,-12.097019,1.4253981
E440_417,17.308308,-8.267054
E441_387,14.709227,-3.5552516
E442_102,-16.69981,5.932143
E443_67,-13.98231,13.703052
E444_282,-7.114861,-1.3837391
E445_209,-6.8023753,-1.9405254
E446_452,15.716087,-6.634555
E447_399,12.558429,-6.1387744
E448_25,-17.46513,14.302847
E449_14,-20.21611,14.389205
E450_230,-1.2394066,1.5159836
E451_67,-15.662529,11.170249
E452_310,4.7533655,-2.7369556
E453_159,-3.164357,4.6642494
E454_118,-16.604685,3.221875
E455_357,1.2819338,1.3313905
E456_273,5.1782274,-1.8294673
E457_2,-22.762094,13.51866
E458_57,-14.522557,14.085047
E459_462,16.255472,-7.62775
E460_171,-6.2515063,-0.5508021
E461_212,0.22245406,1.6440142
E462_406,13.631959,-7.499053
E463_423,15.39276,-8.655734
E464_394,11.737514,-5.3532777
E465_492,13.362882,-5.854278
E466_272,1.4094968,0.939349
E467_453,13.166017,-5.32178
E468_197,-0.64213485,2.9364274
E469_357,12.443783,-5.053832
E470_26,-17.376656,14.689772
E471_99,-16.024498,7.1576138
E472_54,-15.315103,14.415657
E473_391,12.169216,-8.531537
E474_350,7.0357823,-2.7843463
E475_16,-19.841492,14.463195
E476_424,15.159335,-6.7714944
E477_319,3.9376876,-1.1038635
E478_300,8.883246,-5.1904106
E479_486,15.764226,-7.121277
E480_107,-16.317799,3.8239233
E481_189,-8.204439,-0.7379743
E482_107,-15.483211,5.5696177
E483_449,7.1911054,-2.8738055
E484_458,16.76794,-6.633684
E485_363,14.791014,-4.593151
E486_344,13.638485,-11.598749
E487_381,15.994077,-6.1707306
E488_127,-18.116219,2.6450424
E489_396,12.099532,-6.042531
E490_433,16.413795,-7.2568736
E491_248,0.4089147,2.4984417
E492_120,-17.407686,3.103502
E493_308,4.344147,-3.0556464
E494_470,17.639088,-8.008811
E495_300,6.887406,-2.2037084
E496_166,-12.097657,7.3901086
E497_175,-1.626966,-1.0059904
E498_158,-12.049587,2.9401646
E499_448,13.001427,-5.945336
E500_456,12.264294,-2.2389379
E501_99,-16.988674,3.4131515
E502_462,12.269594,-10.348493
E503_372,17.954002,-5.995698
E504_353,9.885941,-6.9139795
E505_497,17.469608,-5.4554396
E506_228,-2.4639754,3.2391512
E507_210,-6.903582,1.0075482
E508_368,11.358442,-9.748995
E509_427,18.964775,-4.8208447
E510_395,14.356299,-6.5288377
E511_6,-22.169802,13.813651
E512_224,-2.4103425,4.23192
E513_125,-18.122093,2.7314427
E514_272,1.1916128,0.7480898
E515_310,14.590693,-7.164419
E516_111,-17.913353,3.2396388
E517_49,-14.518378,14.050452
E518_160,-1.9056325,3.871334
E519_30,-16.562622,14.931291
E520_439,15.591054,-6.1864114
E521_376,14.684227,-7.676187
E522_2,-22.772406,13.512768
E523_406,13.283155,-6.9570847
E524_311,8.836011,-4.170568
E525_386,12.945805,-11.268064
E526_345,4.397121,0.5329749
E527_250,0.71991295,2.2307777
E528_485,14.421618,-5.3813896
E529_400,5.943028,-2.8912566
E530_19,-18.984558,14.544901
E531_369,10.241421,-2.9528322
E532_268,-3.5434282,0.38435516
E533_417,13.69694,-7.3487306
E534_91,-13.295908,11.489539
E535_453,15.621127,-7.491711
E536_209,-9.113778,0.80443215
E537_398,15.286409,-6.5216413
E538_152,-3.4201138,4.420455
E539_71,-13.919189,13.089632
E540_444,12.800047,-7.8767467
E541_224,-4.957785,-0.6523918
E542_366,10.927945,-8.308235
E543_258,1.7272855,-3.0638988
E544_379,12.542152,-2.664473
E545_482,16.454763,-4.949717
E546_357,16.735123,-3.2611263
E547_298,5.655457,-2.1968656
E548_273,-0.88425034,3.2914486
E549_165,-10.522456,0.5190197
E550_27,-16.959387,14.200951
E551_384,15.693968,-2.621622
E552_461,12.789541,-9.0619135
E553_105,-12.981394,10.151321
E554_107,-12.302929,10.220805
E555_420,0.9852408,-3.4283636
E556_370,12.997692,-5.992799
E557_13,-20.608517,14.322286
E558_298,5.2476525,-2.8774085
E559_294,5.725721,-3.2721715
E560_409,16.669535,-9.289419
E561_69,-14.895825,12.992259
E562_59,-14.980137,12.539729
E563_346,11.37052,-9.246846
E564_160,-17.157936,1.82274
E565_333,7.601114,-1.9777493
E566_135,-17.463274,2.0166454
E567_232,-6.9405885,-0.088062234
E568_132,-15.171388,3.096931
E569_183,-2.4840806,1.9783549
E570_366,18.331818,-6.44711
E571_170,-15.369603,7.3580313
E572_277,15.10778,-4.9587855
E573_311,8.81059,-3.8830721
E574_424,16.888718,-8.835595
E575_360,12.790012,-7.7490535
E576_338,5.3258843,-1.9397044
E577_492,12.115042,-8.375278
E578_73,-16.29172,9.574581
E579_397,16.6827,-8.1203375
E580_494,19.350668,-6.312081
E581_49,-16.177015,14.328919
E582_145,-17.68363,2.3253844
E583_349,4.9532127,-1.6115327
E584_245,-5.3545594,-0.33502313
E585_281,7.0189657,-0.4409172
E586_194,-10.884594,1.7499784
E587_205,-6.53887,1.7706443
E588_459,15.320417,-8.380592
E589_272,-0.1900863,2.3158276
E590_247,-4.367293,0.23826271
E591_173,-16.668562,2.3434696
E592_463,10.112184,-5.3418303
E593_389,11.751263,-9.379322
E594_451,15.0521,-9.005915
E595_67,-14.649461,12.563406
E596_219,-1.6974427,3.7346969
E597_15,-20.208857,14.406176
E598_280,-3.704616,0.07031455
E599_251,-0.68935263,2.633661
E600_385,7.0752535,-2.529289
E601_186,-8.126718,-0.82234514
E602_344,12.118782,-7.9704685
E603_36,-16.284292,14.510601
E604_437,16.246418,-8.10342
E605_163,-9.063727,-0.34212035
E606_325,-0.19028896,1.9329273
E607_120,-14.30622,6.4106817
E608_430,16.100029,-6.18697
E609_243,6.379879,-1.0052876
E610_490,12.006278,-7.99504
E611_27,-17.309523,15.483324
E612_418,12.633419,-4.961891
E613_371,10.577408,-6.1169934
E614_366,11.123889,-10.422893
E615_340,16.349579,-4.805644
E616_105,-17.362268,1.8798711
E617_58,-15.441646,13.46869
E618_86,-16.179157,7.181445
E619_166,-3.5230687,5.046108
E620_394,11.04888,-3.9232922
E621_337,7.256121,-2.1226983
E622_59,-16.359423,10.447246
E623_352,6.8474617,-0.13698985
E624_410,14.216716,-6.9214916
E625_114,-13.020656,9.519151
E626_159,-11.312546,4.0530834
E627_70,-16.14409,10.387815
E628_207,-8.168223,1.7454212
E629_386,12.752167,-8.580525
E630_478,16.61174,-9.761208
E631_310,5.589469,-2.3317685
E632_326,6.2929435,-1.8191898
E633_3,-22.685427,13.561775
E634_405,16.442719,-8.22883
E635_166,-9.043737,-0.31514192
E636_58,-14.192822,13.738886
E637_378,9.30639,-8.8620205
E638_348,13.706227,-3.1853971
E639_457,14.656291,-6.2816296
E640_396,17.302742,-5.9560184
E641_118,-14.199067,6.568784
E642_323,0.27127597,-1.9173102
E643_397,13.519366,-5.7856755
E644_36,-15.81485,14.742025
E645_121,-15.674345,4.8068953
E646_244,5.8471293,-2.3278177
E647_433,13.272876,-6.7400093
E648_17,-19.352322,14.552333
E649_209,-8.954579,0.6225632
E650_440,13.333918,-5.2080617
E651_63,-15.831977,14.414064
E652_126,-18.085154,2.2990682
E653_62,-15.929279,10.508799
E654_298,-5.470824,-1.9518878
E655_395,13.754615,-7.5385776
E656_114,-15.450029,5.9503703
E657_3,-22.659155,13.575327
E658_215,-5.633499,-1.1745572
E659_212,-1.1720463,3.0878515
E660_155,-12.214858,1.4529988
E661_259,2.0986676,-3.666413
E662_134,-15.237835,3.562824
E663_10,-21.303696,14.144327
E664_194,1.3486097,-2.4831486
E665_131,-17.084816,1.7959747
E666_176,-8.517298,0.046394706
E667_33,-16.534403,14.3429
E668_271,6.8279467,-2.3485885
E669_390,14.024668,-5.7149887
E670_439,9.510558,-7.269203
E671_350,3.8689432,-1.5724835
E672_21,-18.480806,15.058706
E673_18,-18.94502,14.481012
E674_264,4.7716875,-1.5088952
E675_153,-13.211259,7.731567
E676_228,-6.9514847,-1.5872232
E677_499,16.674337,-3.0191045
E678_101,-15.788553,6.8637176
E679_288,-0.9116166,-1.7536772
E680_396,14.802753,-7.4090548
E681_386,15.43746,-7.9035244
E682_473,16.801516,-7.660442
E683_347,9.657612,-6.4608955
E684_409,13.922056,-6.196015
E685_7,-21.976957,13.902477
E686_240,-3.5643442,4.3826494
E687_230,-6.1779184,-1.5712953
E688_298,7.76552,-2.6362898
E689_391,8.314766,-4.4661665
E690_216,-5.1641083,-1.345967
E691_448,16.343775,-8.9494915
E692_74,-13.437796,12.356827
E693_4,-22.526,13.645463
E694_91,-14.202214,9.580104
E695_220,-3.9712095,-1.070933
E696_200,-8.309544,-0.11883454
E697_207,-8.827816,0.40968287
E698_13,-20.289047,14.39403
E699_201,-5.4893203,-0.20719735
E700_432,13.58574,-9.536794
E701_95,-15.120146,8.219764
E702_41,-15.780893,14.66995
E703_387,11.737908,-9.112189
E704_367,5.329647,-2.020572
E705_280,9.266463,-4.0349627
E706_153,-10.803632,3.2334142
E707_355,5.595407,-2.1801481
E708_415,8.780624,-2.99332
E709_78,-16.179611,8.163726
E710_281,0.12849936,2.2974043
E711_181,0.03170788,2.7249904
E712_32,-16.743996,14.641113
E713_424,14.475058,-11.379415
E714_435,12.7092285,-8.472284
E715_70,-13.562006,13.347802
E716_400,17.273346,-5.7676773
E717_432,14.985252,-9.272214
E718_277,6.142048,-2.4137256
E719_475,15.758305,-9.601977
E720_455,11.687483,-9.198252
E721_360,5.0716076,-3.5667717
E722_56,-15.401079,14.903208
E723_106,-17.438469,3.842137
E724_351,5.0568047,-1.2613153
E725_477,14.832426,-7.4694405
E726_134,-11.865973,10.1579075
E727_66,-14.476086,14.080539
E728_472,16.500257,-11.19574
E729_423,10.004794,-2.330607
E730_423,12.810036,-6.8440924
E731_283,-3.2137132,0.4468024
E732_391,13.180067,-6.2756515
E733_424,16.280127,-8.420624
E734_131,-16.669085,2.344533
E735_246,-5.363017,-2.2592924
E736_64,-15.130892,14.939446
E737_18,-19.16515,14.485819
E738_68,-15.538321,14.237637
E739_448,19.16035,-5.3284383
E740_57,-15.492508,14.949947
E741_415,4.747919,-1.6195943
E742_384,12.795053,-2.4862301
E743_395,14.309979,-5.9987497
E744_87,-16.2861,6.838393
E745_177,-10.770114,1.0058742
E746_285,-3.1816156,-0.32535383
E747_29,-16.753614,14.660892
E748_177,-2.0555794,3.4920223
E749_271,0.5893932,2.3407395
E750_323,-6.5837502,-1.3094311
E751_52,-16.062565,14.74388
E752_306,-0.6934532,1.7433612
E753_73,-16.166363,10.965383
E754_192,-8.267175,2.097817
E755_17,-19.346539,14.469078
E756_30,-16.734417,14.553711
E757_153,-14.389679,5.813037
E758_181,-2.7580223,4.4404845
E759_496,15.754963,-8.270235
E760_98,-14.295729,8.190895
E761_213,-5.301094,-1.9761325
E762_183,-5.904174,-1.4070414
E763_179,-12.330583,1.5011384
E764_315,7.652365,-3.6684341
E765_257,-0.16513872,2.2100146
E766_469,13.374883,-3.9613395
E767_296,4.842366,-1.9074419
E768_226,-5.0007977,-0.045281082
E769_375,12.3099,-6.9322367
E770_426,14.990453,-10.409509
E771_10,-21.2014,14.170266
E772_384,7.4043794,-2.420761
E773_110,-18.204588,2.0649478
E774_255,4.121226,-1.0331501
E775_186,-8.952917,1.306535
E776_493,14.998893,-7.135869
E777_21,-18.291672,14.344885
E778_355,9.020918,-5.300865
E779_395,11.957095,-6.360443
E780_69,-16.436636,8.841097
E781_324,6.27442,-3.9818368
E782_79,-15.139566,12.66017
E783_273,7.3225226,-0.45387408
E784_166,-11.990304,1.3881699
E785_351,8.027491,-3.5783012
E786_174,-11.684876,9.926924
E787_291,5.0859222,-2.6380012
E788_340,5.801623,-1.1703935
E789_180,-15.836264,2.5749881
E790_439,7.292315,-5.682666
E791_429,14.121486,-7.4183726
E792_322,5.3121285,-5.5500817
E793_249,4.9516883,-4.0897703
E794_180,-7.2485747,-1.4304138
E795_92,-12.835845,10.678795
E796_418,17.646978,-9.170465
E797_272,1.4926378,-2.7747667
E798_471,14.013593,-4.7427783
E799_212,-6.523273,-1.3045177
E800_311,8.074645,-4.034798
E801_173,-7.2482777,-1.2935692
E802_51,-14.119277,14.9293375
E803_185,-0.32728428,1.8963975
E804_106,-18.019434,2.5932307
E805_213,-7.4950185,-1.2215389
E806_425,14.287687,-5.7757144
E807_225,-6.1949205,-0.94314045
E808_213,-5.8804646,-0.61695594
E809_461,14.514994,-8.337769
E810_396,17.337326,-5.763649
E811_195,-13.33633,2.215327
E812_433,15.047433,-6.110751
E813_180,-2.9901955,4.6834927
E814_24,-17.79425,15.598155
E815_133,-16.239527,5.3657002
E816_465,13.863472,-4.286051
E817_392,9.270825,-3.8483644
E818_160,-16.810246,2.788242
E819_442,16.85583,-8.047203
E820_390,13.126867,-6.3380594
E821_300,0.6938898,0.24099582
E822_451,12.973619,-5.1824336
E823_317,4.7582574,-3.3200228
E824_263,4.097547,-3.1740413
E825_439,12.788724,-5.5394115
E826_393,7.090417,-3.4137893
E827_394,9.841069,-2.8868275
E828_90,-15.660196,10.265346
