Gene,CB_Exc,HB_Exc,Tel_Exc,MB_Inh,Purkinje
ZNF692,0.010921908355259892,0.012025967576004824,0.017236204604896454,0.014860623961602364,0.014320926024149012
ZNF440,0.006801370203048205,0.008797757990705594,0.011662307593362776,0.012060796258691773,0.010654893763065115
ZBTB47,0.0006453854937199027,0.0017737415303841924,0.002701196244050937,0.0014460648575472278,0.001263611119777854
KLF11,0.010127587747604626,0.007449714427613608,0.010290271405908331,0.004061288536090087,0.006895260678293969
ZNF557,0.00685101524102666,0.009542729433466955,0.01342022895853878,0.0075995323364716014,0.01110729774422015
ZNF473,0.004468053418060865,0.003760332044414488,0.0032585859452043046,0.002430619654175128,0.004570840223393966
ZNF556,0.00014893511393536217,0.00024832381425378696,0.0005145135702954165,0.0003999753861300843,0.000421203706592618
ATF7,0.043439408231147295,0.044911135549327755,0.08116451571410196,0.030059688634545566,0.02447661539421547
NR1H2,0.009531847291863179,0.010890772996558941,0.010376023667624234,0.008830225832256476,0.009282081682318805
GRHL3,9.92900759569081e-05,0.0001418993224307354,4.287613085795138e-05,0.00012306934957848748,0.00010920096096845653
USF1,0.010226877823561535,0.015431551314342474,0.017450585259186212,0.014460648575472279,0.01634894387070606
DNAJC2,0.021496301444670605,0.02295221540317145,0.03155683231145221,0.024367731216540522,0.022588998783189294
KDM5D,0.0074964007347465625,0.0036184327219837527,0.0015435407108862495,0.0028613623776998338,0.003135627593522823
ZBTB43,0.011716228962915156,0.017950264287488027,0.021566693821549545,0.012706910343978832,0.015537736732083243
ASH2L,0.013304870178225686,0.012203341729043244,0.01895124983921451,0.013506861116239001,0.014367726435992637
MXD4,0.01846795412798491,0.025435453545709318,0.02829824636624791,0.014368346563288413,0.01605254126236311
ARNT,0.02745370600208509,0.03214019653056157,0.04759250525232603,0.04092055873484709,0.031278275248822186
ZBTB32,0.0005460954177629946,0.0005675972897229416,0.0007288942245851735,0.0005230447357085718,0.0005772050794046988
ZNF436,0.005312019063694584,0.008726808329490226,0.006903057068130172,0.003353639776013784,0.0061776543633583975
BMP2,0.0013900610633967136,0.001880166022207244,0.0006431419628692707,0.000707648760076303,0.0015444135908395994
