Name,Coefficient,Coefficient_std_error,Coefficient_P_value,Phenotype
Neur_CB_GNP_IPC_2,2.498892086822683e-09,1.853046351290281e-07,0.4946202992046267,ANO
Roof_plate,-5.938453733094526e-10,1.662258208321803e-07,0.5014252269731934,ANO
Neur_Tel_Glut_NBL_2,-1.597321333253087e-09,2.027047657103013e-07,0.5031436479461006,ANO
Neur_Gly_6,-1.4920059082131553e-08,4.377682653479454e-07,0.5135941563663653,ANO
Gbl_General_1,-2.0232955122527573e-08,1.869588465131025e-07,0.5430899799200207,ANO
VSMC,-2.2367684685519875e-08,1.765546735458535e-07,0.5504070592373801,ANO
Per_3,-3.1854950147812365e-08,1.514932808543422e-07,0.5832727054822952,ANO
Neur_HB_IPC_1,-3.646619193806596e-08,1.6778901250914508e-07,0.5860258172984103,ANO
Per_1,-3.1572052992412014e-08,1.4212713921918564e-07,0.5878973590093526,ANO
VLMC_SLC6A13_1,-1.9657587246992134e-07,8.28414062275249e-07,0.5937847924146287,ANO
End_6,-5.8088461664178137e-08,1.911585068249428e-07,0.6193887771744612,ANO
End_9,-5.28245098374684e-08,1.712485390943634e-07,0.6211364670433286,ANO
Floor_plate,-5.6482419926906216e-08,1.768578379754793e-07,0.6252755899874103,ANO
Neur_HB_Glut_NBL_3,-4.6679706221171933e-08,1.435562639819279e-07,0.6274725176111684,ANO
End_5,-5.5153556285743464e-08,1.5647356664004109e-07,0.6377602519414259,ANO
Mic_5,-6.748588343105967e-08,1.377987231883882e-07,0.687841918223092,ANO
PreOPC_3,-2.658385051702592e-07,5.417546412665196e-07,0.6881803520836456,ANO
End_4,-8.366246405977678e-08,1.65046478556684e-07,0.6938883661234734,ANO
Mic_2,-6.371578859462761e-08,1.251970259087472e-07,0.6945973003347996,ANO
Mic_active_2,-7.17883345679778e-08,1.3693029273001092e-07,0.699954340808014,ANO
Mic_6,-7.591591863137216e-08,1.437800440755084e-07,0.7012504656458327,ANO
End_7,-1.0296332944589229e-07,1.922446306555027e-07,0.7038772811850131,ANO
End_3,-8.882893790886458e-08,1.5724984059260589e-07,0.7139258702753134,ANO
Neur_Tel_Glut_SATB2_1,-1.3987331450172085e-07,2.2895679298999963e-07,0.7293723265153915,ANO
Gbl_HB_5,-1.1058178020056722e-07,1.760692945193953e-07,0.7350171225449058,ANO
Mic_3,-7.912600059099335e-08,1.196928543925135e-07,0.7457180170825579,ANO
End_2,-1.291833367735525e-07,1.9268554071309659e-07,0.7487100764871294,ANO
Schwl_2,-1.5675905299895324e-07,2.3040918821658418e-07,0.7518587861387777,ANO
VLMC_SLC6A13_3,-8.87160081278489e-07,1.2291298858820149e-06,0.7647848040619281,ANO
Mic_1,-9.288381453566088e-08,1.271270327853572e-07,0.7674997890270934,ANO
Mic_active_1,-9.165625038713133e-08,1.219447950262639e-07,0.7738604492057239,ANO
Mic_4,-1.030547584583106e-07,1.3585576118783197e-07,0.7759421228413466,ANO
End_1,-1.742092201345087e-07,2.2712738154204349e-07,0.7784625385913609,ANO
Per_6,-1.3977673374341856e-07,1.5862386582339034e-07,0.8108907465926732,ANO
End_early_1,-2.550796283482371e-07,2.877402157229401e-07,0.8123239827725741,ANO
End_8,-1.5671806665296713e-07,1.6852962809956665e-07,0.8237922024598734,ANO
Per_2,-1.2645636085901718e-07,1.3454963684810746e-07,0.826352526383002,ANO
PVM,-1.517714833530356e-07,1.5537664900774098e-07,0.8356652309330018,ANO
Neur_HB_Glut_NBL_2,-1.6056844711123765e-07,1.6285547243951317e-07,0.837922823750121,ANO
Mic_dividing,-1.2087143918840226e-07,1.210313780056978e-07,0.8410247787771671,ANO
End_10,-1.985276997951872e-07,1.9431179442601379e-07,0.8465377397027984,ANO
Gbl_General_2,-4.1429993532712987e-07,3.879595668241305e-07,0.85721597584951,ANO
Gbl_HB_1,-1.906702684789972e-07,1.7741963829727994e-07,0.858742165327415,ANO
VLMC_SLC6A13_2,-1.9366661344002457e-07,1.781012165754125e-07,0.8615691589612342,ANO
VLMC_MGP_2,-2.960297507135259e-07,2.708358345162552e-07,0.8628081122784503,ANO
Neur_Gly_5,-5.25229401303293e-07,4.745352589458213e-07,0.8658160731802287,ANO
Immune_uncertain,-1.771267164658799e-07,1.576945563405744e-07,0.8693293607122434,ANO
T_Cell_immature,-3.595574152084119e-07,3.109916536234833e-07,0.8761929991364397,ANO
Neur_HB_Glut_NBL_4,-1.3464607261675145e-07,1.1628415757164529e-07,0.8765487108846215,ANO
Neur_GABA_IPC,-1.2678928034261317e-06,1.0626064166292923e-06,0.8836027826558863,ANO
Per_7,-3.06435656084715e-07,2.3464154801204922e-07,0.9042192242066596,ANO
End_early_2,-9.219136498539892e-07,7.054376893583438e-07,0.9043711567441232,ANO
Neur_HB_Glut_NBL_1,-1.8075715302464425e-07,1.356504007686835e-07,0.9086556531782144,ANO
Gbl_HB_3,-3.385597076672367e-07,2.39048927213952e-07,0.9216529190948256,ANO
Gbl_HB_2,-3.042723627906753e-07,1.97716518570036e-07,0.9380896037527964,ANO
